seconds_elapsed,latitude,longitude,horizontalAccuracy,speed,score,eligible
-0.173,37.1848896,127.1043303,9.26,0.209,0,False
0.827,37.184883,127.1043371,7.59,0.107,0,False
1.827,37.1848867,127.1043678,5.54,0.209,0,False
2.827,37.1848889,127.1043777,5.29,0.732,0,False
3.827,37.1848963,127.1043886,4.74,0.831,0,False
4.827,37.1849092,127.1043995,4.05,0.17,0,False
6.066,37.1849046,127.1044047,3.67,0.189,0,False
7.066,37.1849035,127.1044049,3.34,0.288,0,False
8.066,37.1849059,127.1044038,3.06,0.139,0,False
9.066,37.1849064,127.1044032,2.79,0.022,0,False
10.066,37.1849064,127.1044032,4.75,0.022,0,False
11.066,37.184908,127.1044029,4.75,0.01,0,False
12.066,37.184908,127.1044029,4.75,0.0,0,False
13.066,37.184908,127.1044029,4.75,0.0,0,False
14.066,37.184908,127.1044029,4.75,0.0,0,False
15.066,37.184908,127.1044029,4.75,0.0,0,False
16.066,37.184908,127.1044029,4.75,0.0,0,False
17.066,37.184908,127.1044029,4.75,0.0,0,False
18.066,37.184908,127.1044029,4.75,0.0,0,False
19.066,37.184908,127.1044029,4.75,0.0,0,False
20.066,37.184908,127.1044029,4.75,0.0,0,False
21.066,37.184908,127.1044029,4.75,0.0,0,False
22.066,37.1849054,127.1043998,4.75,0.047,0,False
23.066,37.1849054,127.1043998,4.75,0.0,0,False
24.066,37.1849054,127.1043998,4.75,0.0,0,False
25.066,37.1849001,127.1044048,4.75,0.104,0,False
26.066,37.1849018,127.1044,4.75,0.054,0,False
27.066,37.184905,127.1043946,4.75,0.115,0,False
28.066,37.1849072,127.1043921,4.75,0.08,0,False
29.066,37.1849058,127.1043929,4.75,0.044,0,False
30.066,37.1848907,127.1043887,6.84,0.024,0,False
31.066,37.1848978,127.1043884,6.47,0.04,0,False
32.066,37.1848981,127.104389,6.53,0.131,0,False
33.066,37.1848927,127.1043799,6.82,0.497,0,False
34.066,37.1848877,127.104377,6.37,0.539,0,False
35.066,37.1848842,127.1043745,6.34,0.533,0,False
36.066,37.1848871,127.1043761,6.16,0.193,0,False
37.066,37.1848842,127.1043792,5.96,0.062,0,False
38.066,37.1848864,127.1043804,5.94,0.013,0,False
39.066,37.1848842,127.1043788,6.09,0.026,0,False
40.066,37.184883,127.1043792,6.18,0.04,0,False
41.066,37.1848833,127.1043721,6.18,0.018,0,False
42.066,37.1848828,127.1043661,6.08,0.278,0,False
43.066,37.1848833,127.1043608,6.08,0.475,0,False
44.066,37.1848769,127.1043518,6.2,0.481,0,False
45.066,37.1848739,127.1043476,6.13,0.512,0,False
46.066,37.1848709,127.1043391,6.02,0.796,0,False
47.066,37.1848655,127.1043299,6.01,0.806,0,False
48.066,37.1848604,127.1043239,6.02,0.639,0,False
49.066,37.1848591,127.1043178,6.09,0.508,0,False
50.066,37.1848677,127.1043207,6.09,0.087,0,False
51.066,37.1848691,127.104325,6.36,0.033,0,False
52.066,37.1848684,127.1043286,6.44,0.062,0,False
53.066,37.1848718,127.1043338,6.61,0.03,0,False
54.066,37.1848739,127.1043377,6.54,0.029,0,False
55.066,37.1848742,127.1043414,6.54,0.045,0,False
56.066,37.1848731,127.1043366,6.64,0.063,0,False
57.066,37.1848689,127.1043333,6.75,0.11,0,False
58.066,37.1848703,127.1043306,6.92,0.009,0,False
59.066,37.1848694,127.1043279,6.92,0.044,0,False
60.066,37.1848614,127.1043205,6.92,0.095,0,False
61.066,37.1848681,127.1043228,6.99,0.024,0,False
62.066,37.184868,127.1043228,6.94,0.0,0,False
63.066,37.1848702,127.1043238,6.99,0.011,0,False
64.066,37.1848798,127.1043305,7.13,0.048,0,False
65.066,37.1848841,127.1043307,7.19,0.106,0,False
66.066,37.1848757,127.1043244,7.22,0.008,0,False
67.066,37.1848718,127.1043223,7.36,0.117,0,False
68.066,37.1848744,127.1043206,7.4,0.139,0,False
69.066,37.1848741,127.1043226,7.35,0.0,0,False
70.066,37.1848728,127.1043222,7.35,0.043,0,False
71.066,37.184869,127.1043212,7.37,0.251,0,False
72.066,37.184862,127.1042978,7.39,1.029,0,False
73.066,37.1848585,127.1042864,7.33,1.267,0,False
74.066,37.1848639,127.1042684,7.24,1.512,0,False
75.066,37.1848604,127.1042438,7.35,1.712,91,True
76.066,37.1848685,127.10422,7.49,1.832,91,True
77.066,37.1848789,127.1041981,7.49,2.092,89,True
78.066,37.1848912,127.1041703,7.38,2.407,89,True
79.066,37.1849092,127.1041498,7.29,2.512,90,True
80.066,37.18492,127.1041239,7.28,2.697,90,True
81.066,37.1849343,127.1041014,7.2,2.66,93,True
82.066,37.1849483,127.104077,7.03,2.619,93,True
83.066,37.1849626,127.1040538,6.97,2.612,92,True
84.066,37.1849784,127.1040344,6.92,2.592,92,True
85.066,37.1849943,127.1040124,6.9,2.633,93,True
86.066,37.1850081,127.1039817,6.89,2.734,93,True
87.066,37.1850262,127.1039561,6.93,2.895,87,True
88.066,37.1850463,127.1039314,7.05,2.845,87,True
89.066,37.1850598,127.1039045,7.07,2.823,81,True
90.066,37.1850757,127.1038702,7.09,3.119,81,True
91.066,37.1850939,127.1038399,7.03,3.181,77,True
