id,time,videoTime,latitude,longitude,accuracy,speedKmh,peakAcceleration,accelRms,jerkRms,gyroRms,score,visualStatus,decision,surfaceLabel,videoSource
1,116.0,116.0,37.1855113,127.1032341,5.77,10.2,91.793,16.458,1375.555,0.713,40.5,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
2,170.0,170.0,37.1859588,127.1011419,2.39,8.6,83.814,13.636,1055.516,0.658,40.9,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
3,254.0,254.0,37.1860752,127.1010293,2.08,6.8,119.17,14.377,1132.283,0.778,40.2,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
4,382.0,382.0,37.1864448,127.1001224,2.01,10.9,82.105,15.731,1186.778,0.759,41.6,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
5,438.0,438.0,37.1877422,127.0995915,8.15,10.8,74.268,16.003,1293.705,0.582,41.1,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
6,638.0,638.0,37.1898519,127.0986737,14.25,7.7,73.958,10.887,857.784,0.669,42.6,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
7,660.0,660.0,37.1902449,127.0985752,14.25,6.9,60.843,11.598,826.056,0.518,40.6,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
8,822.0,822.0,37.1941153,127.0984807,14.25,8.7,100.44,13.633,1116.898,0.596,41.0,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
9,882.0,882.0,37.1954178,127.0985205,14.25,7.4,89.415,16.375,1190.625,0.685,40.1,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
10,1032.0,1032.0,37.1969992,127.0985375,14.25,9.5,155.096,14.789,1172.494,0.582,40.7,video-linked,영상 확인 후보,상대적 고진동 구간,/Users/seulbinlee/Downloads/1786278944600.mp4
