start,end,time,latitude,longitude,speed,accuracy,accelRms,peak,jerkRms,gyroRms,normalizedRms,eligible,score,confidence,grade,accelSamples,gyroSamples
0.0,4.0,2.0,37.1848867,127.1043678,0.47,5.41,1.48,5.27,56.018,0.929,5.976,False,0,0.35,excluded,398,398
2.0,6.0,4.0,37.1848963,127.1043886,0.578,4.74,2.031,12.85,113.975,0.975,6.95,False,0,0.35,excluded,402,402
4.0,8.0,6.0,37.1849046,127.1044047,0.216,3.67,1.559,12.85,111.812,0.386,11.73,False,0,0.35,excluded,402,402
6.0,10.0,8.0,37.1849059,127.1044038,0.16,3.2,0.795,7.201,61.239,0.155,7.613,False,0,0.35,excluded,402,402
8.0,12.0,10.0,37.1849064,127.1044032,0.048,3.9,0.478,6.837,34.808,0.059,11.877,False,0,0.35,excluded,401,401
10.0,14.0,12.0,37.184908,127.1044029,0.008,4.75,0.085,0.414,4.804,0.013,8.805,False,0,0.35,excluded,401,401
12.0,16.0,14.0,37.184908,127.1044029,0.0,4.75,0.094,0.414,4.876,0.012,0.0,False,0,0.35,excluded,401,401
14.0,18.0,16.0,37.184908,127.1044029,0.0,4.75,0.085,0.365,3.861,0.011,0.0,False,0,0.35,excluded,401,401
16.0,20.0,18.0,37.184908,127.1044029,0.0,4.75,0.074,0.22,2.909,0.011,0.0,False,0,0.35,excluded,402,402
18.0,22.0,20.0,37.184908,127.1044029,0.0,4.75,0.078,0.214,2.634,0.014,0.0,False,0,0.35,excluded,402,402
20.0,24.0,22.0,37.1849054,127.1043998,0.012,4.75,0.239,1.264,11.715,0.128,18.348,False,0,0.35,excluded,402,402
22.0,26.0,24.0,37.1849054,127.1043998,0.038,4.75,0.323,1.264,14.559,0.186,9.772,False,0,0.35,excluded,402,402
24.0,28.0,26.0,37.1849018,127.1044,0.068,4.75,0.403,0.995,10.537,0.152,7.611,False,0,0.35,excluded,402,402
26.0,30.0,28.0,37.1849072,127.1043921,0.073,4.75,0.394,0.995,9.005,0.342,7.021,False,0,0.35,excluded,402,402
28.0,32.0,30.0,37.1848907,127.1043887,0.047,5.61,0.726,2.062,17.901,0.406,18.482,False,0,0.35,excluded,402,402
30.0,34.0,32.0,37.1848981,127.104389,0.173,6.68,1.484,5.152,61.386,0.32,13.323,False,0,0.35,excluded,402,402
32.0,36.0,34.0,37.1848877,127.104377,0.425,6.45,1.499,5.152,60.231,0.262,6.558,False,0,0.35,excluded,402,402
34.0,38.0,36.0,37.1848871,127.1043761,0.332,6.25,0.809,2.172,18.556,0.156,4.315,False,0,0.35,excluded,402,402
36.0,40.0,38.0,37.1848864,127.1043804,0.074,6.02,0.608,2.195,24.761,0.163,10.828,False,0,0.35,excluded,402,402
38.0,42.0,40.0,37.184883,127.1043792,0.024,6.13,0.836,2.225,30.434,0.262,35.957,False,0,0.35,excluded,402,402
40.0,44.0,42.0,37.1848828,127.1043661,0.203,6.13,1.142,4.664,44.468,0.273,9.027,False,0,0.35,excluded,402,402
42.0,46.0,44.0,37.1848769,127.1043518,0.436,6.11,2.142,5.676,81.131,0.816,9.171,False,0,0.35,excluded,402,402
44.0,48.0,46.0,37.1848709,127.1043391,0.649,6.08,2.374,5.676,87.53,0.982,7.403,False,0,0.35,excluded,401,401
46.0,50.0,48.0,37.1848604,127.1043239,0.687,6.02,1.775,8.815,70.971,0.61,5.283,False,0,0.35,excluded,401,401
48.0,52.0,50.0,37.1848677,127.1043207,0.317,6.09,1.38,8.815,56.379,0.253,7.631,False,0,0.35,excluded,402,402
50.0,54.0,52.0,37.1848684,127.1043286,0.053,6.4,1.093,4.086,40.607,0.182,25.211,False,0,0.35,excluded,402,402
52.0,56.0,54.0,37.1848739,127.1043377,0.042,6.54,1.17,4.051,47.587,0.225,32.899,False,0,0.35,excluded,402,402
54.0,58.0,56.0,37.1848731,127.1043366,0.062,6.59,1.032,4.051,40.823,0.221,21.159,False,0,0.35,excluded,402,402
56.0,60.0,58.0,37.1848703,127.1043306,0.056,6.83,0.728,3.116,30.276,0.155,15.999,False,0,0.35,excluded,402,402
58.0,62.0,60.0,37.1848614,127.1043205,0.043,6.92,0.687,3.116,26.967,0.138,18.751,False,0,0.35,excluded,402,402
60.0,64.0,62.0,37.184868,127.1043228,0.032,6.96,1.08,4.588,53.315,0.17,36.945,False,0,0.35,excluded,402,402
62.0,66.0,64.0,37.1848798,127.1043305,0.041,7.06,1.309,4.588,67.162,0.262,36.973,False,0,0.35,excluded,402,402
64.0,68.0,66.0,37.1848757,127.1043244,0.07,7.2,1.206,4.053,51.182,0.265,22.336,False,0,0.35,excluded,402,402
66.0,70.0,68.0,37.1848744,127.1043206,0.066,7.36,1.147,5.293,61.438,0.246,22.208,False,0,0.35,excluded,402,402
68.0,72.0,70.0,37.1848728,127.1043222,0.108,7.36,2.139,9.938,121.338,0.516,27.945,False,0,0.35,excluded,402,402
70.0,74.0,72.0,37.184862,127.1042978,0.647,7.36,2.434,9.938,139.947,0.564,7.604,False,0,0.35,excluded,402,402
