start,end,time,latitude,longitude,speed,accuracy,accelRms,peak,jerkRms,gyroRms,normalizedRms,eligible,score,confidence,grade
0.0,4.0,2.0,37.1848871,127.1043695,0.3,5.5,1.48,5.27,56.018,0.929,2.334,False,0,0.35,poor
2.0,6.0,4.0,37.1848986,127.1043905,0.717,4.62,2.031,12.85,113.975,0.975,3.204,False,0,0.35,poor
4.0,8.0,6.0,37.1849049,127.1044045,0.188,3.69,1.559,12.85,111.812,0.386,2.459,False,0,0.35,poor
6.0,10.0,8.0,37.1849057,127.1044039,0.149,3.08,0.795,7.201,61.239,0.155,1.254,False,0,0.35,poor
8.0,12.0,10.0,37.1849064,127.1044032,0.022,4.62,0.478,6.837,34.808,0.059,0.754,False,0,0.35,poor
10.0,14.0,12.0,37.184908,127.1044029,0.001,4.75,0.085,0.414,4.804,0.013,0.134,False,0,0.35,poor
12.0,16.0,14.0,37.184908,127.1044029,0.0,4.75,0.094,0.414,4.876,0.012,0.149,False,0,0.35,poor
14.0,18.0,16.0,37.184908,127.1044029,0.0,4.75,0.085,0.365,3.861,0.011,0.134,False,0,0.35,poor
16.0,20.0,18.0,37.184908,127.1044029,0.0,4.75,0.074,0.22,2.909,0.011,0.117,False,0,0.35,poor
18.0,22.0,20.0,37.184908,127.1044029,0.0,4.75,0.078,0.214,2.634,0.014,0.123,False,0,0.35,poor
20.0,24.0,22.0,37.1849056,127.1044,0.044,4.75,0.239,1.264,11.715,0.128,0.377,False,0,0.35,poor
22.0,26.0,24.0,37.1849054,127.1043998,0.0,4.75,0.323,1.264,14.559,0.186,0.509,False,0,0.35,poor
24.0,28.0,26.0,37.1849017,127.1044003,0.058,4.75,0.403,0.995,10.537,0.152,0.635,False,0,0.35,poor
26.0,30.0,28.0,37.184907,127.1043923,0.083,4.75,0.394,0.995,9.005,0.342,0.621,False,0,0.35,poor
28.0,32.0,30.0,37.1848917,127.1043889,0.025,6.7,0.726,2.062,17.901,0.406,1.146,False,0,0.35,poor
30.0,34.0,32.0,37.1848981,127.1043889,0.125,6.52,1.484,5.152,61.386,0.32,2.34,False,0,0.35,poor
32.0,36.0,34.0,37.184888,127.1043772,0.536,6.4,1.499,5.152,60.231,0.262,2.365,False,0,0.35,poor
34.0,38.0,36.0,37.1848869,127.104376,0.215,6.17,0.809,2.172,18.556,0.156,1.276,False,0,0.35,poor
36.0,40.0,38.0,37.1848862,127.1043803,0.017,5.94,0.608,2.195,24.761,0.163,0.959,False,0,0.35,poor
38.0,42.0,40.0,37.1848831,127.1043792,0.039,6.18,0.836,2.225,30.434,0.262,1.319,False,0,0.35,poor
40.0,44.0,42.0,37.1848829,127.1043665,0.261,6.09,1.142,4.664,44.468,0.273,1.801,False,0,0.35,poor
42.0,46.0,44.0,37.1848773,127.1043524,0.48,6.19,2.142,5.676,81.131,0.816,3.378,False,0,0.35,poor
44.0,48.0,46.0,37.1848711,127.1043396,0.778,6.03,2.374,5.676,87.53,0.982,3.744,False,0,0.35,poor
46.0,50.0,48.0,37.1848608,127.1043243,0.65,6.02,1.775,8.815,70.971,0.61,2.799,False,0,0.35,poor
48.0,52.0,50.0,37.1848672,127.1043205,0.115,6.09,1.38,8.815,56.379,0.253,2.176,False,0,0.35,poor
50.0,54.0,52.0,37.1848685,127.1043283,0.06,6.43,1.093,4.086,40.607,0.182,1.724,False,0,0.35,poor
52.0,56.0,54.0,37.1848738,127.1043374,0.029,6.55,1.17,4.051,47.587,0.225,1.845,False,0,0.35,poor
54.0,58.0,56.0,37.1848732,127.1043369,0.061,6.63,1.032,4.051,40.823,0.221,1.627,False,0,0.35,poor
