experiment_time_s,latitude,longitude,height_m,speed_m_s,horizontal_accuracy_m
0.018,37.52450303,127.01561400,22.42,nan,24.74
0.019,37.52450303,127.01561400,22.42,nan,24.74
0.043,37.52450303,127.01561400,22.42,nan,24.74
5.350,37.52453023,127.01567490,38.59,1.193,21.78
6.350,37.52458446,127.01569480,37.57,1.434,18.43
7.350,37.52458446,127.01577820,39.35,1.193,12.47
8.350,37.52458446,127.01578450,39.64,1.434,12.01
9.350,37.52459061,127.01580010,38.63,1.189,11.47
10.350,37.52459061,127.01581160,38.57,0.000,9.02
11.350,37.52459187,127.01581160,40.20,0.000,7.62
12.350,37.52459786,127.01581160,41.98,0.000,7.08
13.350,37.52460442,127.01581130,42.28,nan,7.28
14.350,37.52461077,127.01579420,37.90,0.000,11.86
15.350,37.52461133,127.01579220,37.87,0.000,11.83
16.350,37.52461238,127.01577920,35.31,0.000,12.02
17.350,37.52462285,127.01577240,35.32,0.000,8.62
18.350,37.52463139,127.01575130,33.19,0.000,14.24
19.350,37.52463336,127.01572630,31.90,0.000,19.75
20.350,37.52463385,127.01572130,28.54,0.000,11.87
21.350,37.52465321,127.01572130,9.52,0.243,32.50
22.515,37.52465351,127.01571990,12.91,0.125,13.42
23.515,37.52465351,127.01571540,15.98,0.243,13.49
24.515,37.52465321,127.01571260,14.85,0.582,13.02
25.515,37.52465303,127.01570670,16.38,0.632,13.02
26.515,37.52465303,127.01570030,14.89,0.582,12.93
27.515,37.52465250,127.01569610,15.04,0.462,12.93
28.515,37.52465207,127.01569070,14.74,0.414,12.93
29.515,37.52465250,127.01568970,14.79,0.392,12.80
30.515,37.52465443,127.01568970,14.98,0.392,12.80
31.515,37.52465152,127.01569070,16.41,0.330,12.72
32.515,37.52465152,127.01570940,16.82,0.163,14.25
33.514,37.52465152,127.01571110,17.05,0.120,14.25
34.514,37.52464943,127.01571280,17.06,0.212,14.25
35.514,37.52464655,127.01571280,17.12,0.325,14.25
36.514,37.52463674,127.01571280,14.58,0.069,14.25
37.514,37.52462795,127.01571300,3.70,0.206,14.25
38.514,37.52462468,127.01571300,3.44,0.359,14.25
