seconds_elapsed,latitude,longitude,horizontalAccuracy,speed,score,eligible
-0.186,37.1848735,127.104377,4.75,0.0,0,False
0.814,37.1848735,127.104377,4.75,0.0,0,False
1.814,37.1848755,127.104378,4.75,0.0,0,False
2.814,37.1848766,127.1043776,4.75,0.0,0,False
3.814,37.1848784,127.1043781,4.75,0.0,0,False
4.814,37.1848837,127.1043789,4.75,0.0,0,False
5.814,37.1848865,127.1043792,4.75,0.0,0,False
6.814,37.184888,127.1043794,4.75,0.0,0,False
7.814,37.1848854,127.1043786,4.75,0.26,0,False
8.814,37.1848791,127.1043756,4.75,0.22,0,False
9.814,37.1848708,127.1043758,4.75,0.26,0,False
10.814,37.184857,127.1043834,4.75,0.64,0,False
11.814,37.1848539,127.1043792,4.75,0.17,0,False
12.814,37.1848395,127.1043716,4.75,0.75,0,False
13.814,37.1847993,127.1043661,13.21,0.321,0,False
14.814,37.1847959,127.1043574,12.87,0.278,0,False
15.814,37.1847921,127.1043522,14.14,0.241,0,False
16.814,37.1847918,127.104353,14.53,0.04,0,False
17.814,37.1847877,127.1043497,15.31,0.014,0,False
18.814,37.1847836,127.1043464,15.95,0.126,0,False
19.814,37.1847831,127.1043531,16.12,0.205,0,False
20.814,37.1847813,127.1043526,15.89,0.218,0,False
21.814,37.1847791,127.1043564,16.43,0.069,0,False
22.814,37.1847791,127.1043564,16.37,0.0,0,False
23.814,37.1847791,127.1043564,17.01,0.0,0,False
24.814,37.1847791,127.1043564,16.53,0.0,0,False
25.814,37.1847791,127.1043564,16.98,0.0,0,False
26.814,37.1847791,127.1043564,16.96,0.0,0,False
27.814,37.184757,127.104353,17.09,0.052,0,False
28.814,37.184757,127.1043531,17.28,0.0,0,False
29.814,37.1847565,127.104345,17.54,0.303,0,False
30.814,37.184764,127.1043467,17.32,0.438,0,False
31.814,37.1847719,127.1043397,17.23,0.476,0,False
32.814,37.1847783,127.1043351,16.81,0.458,0,False
33.814,37.1847848,127.1043245,16.37,0.528,0,False
34.814,37.1847893,127.1043217,15.9,0.096,0,False
35.814,37.1847894,127.1043215,15.75,0.0,0,False
36.814,37.1847897,127.1043177,15.47,0.0,0,False
37.814,37.1847897,127.1043177,15.46,0.0,0,False
38.814,37.1847897,127.1043177,15.65,0.0,0,False
39.814,37.1847897,127.1043177,15.82,0.0,0,False
40.814,37.1847897,127.1043177,15.98,0.0,0,False
