start,end,time,latitude,longitude,speed,accuracy,accelRms,peak,jerkRms,gyroRms,normalizedRms,eligible,score,confidence,grade
0.0,4.0,2.0,37.1848757,127.1043779,0.0,4.75,1.299,10.277,77.473,0.365,1.841,False,0,0.35,poor
2.0,6.0,4.0,37.1848794,127.1043782,0.0,4.75,1.798,11.441,105.368,0.51,2.549,False,0,0.35,poor
4.0,8.0,6.0,37.1848868,127.1043793,0.0,4.75,2.314,11.441,112.438,1.299,3.281,False,0,0.35,poor
6.0,10.0,8.0,37.1848843,127.104378,0.253,4.75,2.326,10.678,106.498,1.32,3.298,False,0,0.35,poor
8.0,12.0,10.0,37.1848682,127.1043772,0.331,4.75,1.984,6.414,99.71,0.676,2.813,False,0,0.35,poor
10.0,14.0,12.0,37.1848512,127.1043778,0.278,4.75,1.803,6.414,85.051,0.563,2.557,False,0,0.35,poor
12.0,16.0,14.0,37.1847987,127.1043645,0.313,13.15,1.251,4.293,52.054,0.43,1.773,False,0,0.35,poor
14.0,18.0,16.0,37.1847921,127.1043523,0.203,14.21,1.05,3.033,57.674,0.323,1.489,False,0,0.35,poor
16.0,20.0,18.0,37.184787,127.1043491,0.035,15.43,1.24,3.246,58.163,0.558,1.758,False,0,0.35,poor
18.0,22.0,20.0,37.1847827,127.104353,0.207,16.07,1.017,3.246,39.734,0.497,1.442,False,0,0.35,poor
20.0,24.0,22.0,37.1847791,127.1043564,0.056,16.42,0.439,1.454,8.178,0.124,0.622,False,0,0.35,poor
22.0,26.0,24.0,37.1847791,127.1043564,0.0,16.92,0.304,0.791,6.833,0.056,0.431,False,0,0.35,poor
24.0,28.0,26.0,37.1847791,127.1043564,0.0,16.97,0.428,1.355,12.737,0.098,0.607,False,0,0.35,poor
26.0,30.0,28.0,37.184757,127.104353,0.042,17.12,0.996,3.264,41.384,0.705,1.412,False,0,0.35,poor
28.0,32.0,30.0,37.1847579,127.1043453,0.328,17.5,1.266,3.264,51.646,0.812,1.795,False,0,0.35,poor
30.0,34.0,32.0,37.1847731,127.1043388,0.473,17.15,1.215,3.378,50.501,0.488,1.723,False,0,0.35,poor
32.0,36.0,34.0,37.1847856,127.104324,0.447,16.28,0.899,3.378,40.577,0.274,1.274,False,0,0.35,poor
34.0,38.0,36.0,37.1847894,127.1043208,0.0,15.7,0.306,2.07,12.939,0.098,0.433,False,0,0.35,poor
36.0,40.0,38.0,37.1847897,127.1043177,0.0,15.5,0.181,0.534,4.086,0.065,0.256,False,0,0.35,poor
38.0,42.0,40.0,37.1847897,127.1043177,0.0,15.85,0.152,0.534,4.371,0.048,0.215,False,0,0.35,poor
40.0,44.0,42.0,37.1847897,127.1043177,0.0,16.09,0.129,0.447,2.827,0.037,0.183,False,0,0.35,poor
42.0,46.0,44.0,37.1847897,127.1043177,0.0,16.05,0.296,1.967,9.932,0.068,0.42,False,0,0.35,poor
44.0,48.0,46.0,37.1847897,127.1043177,0.0,16.06,0.697,2.568,25.053,0.386,0.988,False,0,0.35,poor
46.0,50.0,48.0,37.184815,127.1043181,0.065,15.64,0.888,2.568,41.066,0.445,1.259,False,0,0.35,poor
48.0,52.0,50.0,37.1848171,127.104316,0.218,15.49,0.79,2.024,35.18,0.336,1.12,False,0,0.35,poor
50.0,54.0,52.0,37.1848153,127.1043133,0.0,15.22,0.55,1.732,10.532,0.265,0.78,False,0,0.35,poor
52.0,56.0,54.0,37.1848139,127.1043108,0.0,15.09,0.443,1.723,17.733,0.135,0.629,False,0,0.35,poor
54.0,58.0,56.0,37.1848125,127.1043104,0.0,14.96,1.061,3.61,46.124,0.446,1.504,False,0,0.35,poor
56.0,60.0,58.0,37.1848045,127.1043043,0.365,15.39,1.683,5.125,83.707,1.11,2.387,False,0,0.35,poor
58.0,62.0,60.0,37.1848111,127.1042987,0.552,15.8,1.969,5.125,102.553,1.211,2.791,False,0,0.35,poor
60.0,64.0,62.0,37.1848169,127.1042781,1.115,16.05,2.326,5.889,131.92,0.89,3.298,False,0,0.35,poor
62.0,66.0,64.0,37.1848243,127.1042421,1.545,15.52,3.232,11.799,209.422,0.712,4.476,True,80,0.78,good
64.0,68.0,66.0,37.1848424,127.1042018,2.008,14.87,3.963,17.357,272.264,0.586,4.449,True,81,0.79,good
66.0,70.0,68.0,37.184874,127.1041526,2.452,14.59,4.002,17.357,265.334,0.686,3.83,True,89,0.79,good
68.0,72.0,70.0,37.1849097,127.1041109,2.291,14.19,3.891,10.032,240.187,0.786,3.932,True,88,0.8,good
70.0,74.0,72.0,37.1849258,127.1040726,2.205,13.68,4.011,14.763,249.501,0.678,4.178,True,86,0.8,good
72.0,76.0,74.0,37.1849489,127.1040166,2.514,13.12,4.011,14.763,245.663,0.462,3.762,True,89,0.81,good
74.0,78.0,76.0,37.1849671,127.103965,2.406,12.8,4.501,14.388,290.833,0.474,4.374,True,82,0.81,good
76.0,80.0,78.0,37.1849965,127.1039111,2.595,12.88,5.176,19.352,332.625,0.476,4.734,True,75,0.81,fair
78.0,82.0,80.0,37.18503,127.1038635,2.882,12.53,4.862,19.352,296.611,0.448,4.089,True,87,0.81,good
80.0,84.0,82.0,37.1850599,127.1038118,2.747,12.12,5.092,20.159,329.233,0.381,4.449,True,81,0.82,good
82.0,86.0,84.0,37.1850874,127.1037555,2.92,11.88,5.593,20.159,370.61,0.308,4.654,True,77,0.82,fair
84.0,88.0,86.0,37.1851156,127.1036975,2.937,11.91,5.369,18.563,346.61,0.385,4.447,True,81,0.82,good
86.0,90.0,88.0,37.1851421,127.1036468,2.658,11.68,5.576,18.563,368.221,0.433,5.003,True,72,0.82,fair
88.0,92.0,90.0,37.1851766,127.1035912,2.952,11.45,5.718,15.389,381.117,0.36,4.717,True,76,0.83,fair
90.0,94.0,92.0,37.1852093,127.1035293,3.253,11.17,5.627,14.812,370.699,0.429,4.295,True,83,0.83,good
92.0,96.0,94.0,37.1852443,127.1034747,3.084,11.16,5.258,14.673,332.827,0.62,4.189,True,85,0.83,good
94.0,98.0,96.0,37.1852737,127.1034298,2.618,10.99,4.665,14.197,293.334,0.641,4.236,True,84,0.83,good
96.0,100.0,98.0,37.1853138,127.1033916,2.618,10.81,4.213,13.972,250.37,0.676,3.826,True,89,0.83,good
98.0,102.0,100.0,37.1853379,127.1033615,1.927,10.64,6.261,35.153,384.694,0.869,7.264,True,55,0.83,caution
100.0,104.0,102.0,37.1853654,127.1033477,1.632,10.66,12.289,71.025,835.888,1.098,16.288,False,0,0.35,poor
102.0,106.0,104.0,37.1854061,127.1033529,1.933,10.72,11.242,71.025,769.853,1.108,13.013,False,0,0.35,poor
104.0,108.0,106.0,37.1854262,127.1033029,2.198,10.58,18.725,163.98,1423.217,1.235,19.555,False,0,0.35,poor
106.0,110.0,108.0,37.1854404,127.103236,2.668,10.32,18.721,163.98,1419.635,1.195,16.746,False,0,0.35,poor
108.0,112.0,110.0,37.1854496,127.1032144,1.226,10.59,3.286,10.934,144.47,0.917,4.66,False,0,0.35,poor
110.0,114.0,112.0,37.1854568,127.1032089,0.605,10.21,3.598,12.637,186.379,1.079,5.101,False,0,0.35,poor
112.0,116.0,114.0,37.1854682,127.1031996,0.755,9.96,4.594,16.809,267.066,1.147,6.514,False,0,0.35,poor
114.0,118.0,116.0,37.1854939,127.1031803,1.526,9.63,7.309,33.345,483.996,1.01,10.22,False,0,0.35,poor
116.0,120.0,118.0,37.185517,127.1031454,1.962,9.64,6.987,33.345,469.69,0.858,7.994,True,49,0.84,poor
118.0,122.0,120.0,37.1855376,127.1030982,2.193,9.83,3.443,9.361,228.485,0.724,3.603,True,90,0.84,good
120.0,124.0,122.0,37.1855641,127.1030449,2.64,9.68,3.651,24.262,236.215,0.588,3.293,True,93,0.84,good
122.0,126.0,124.0,37.1855862,127.1029929,2.549,9.46,3.792,24.262,241.027,0.542,3.518,True,91,0.85,good
124.0,128.0,126.0,37.1856109,127.1029432,2.596,9.26,3.666,17.613,239.348,0.603,3.351,True,93,0.85,good
