노선명,노선번호,시도명,시군구명,기점도로명주소,기점지번주소,종점도로명주소,종점지번주소,기점위도,기점경도,종점위도,종점경도,주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자
병점2로 1R,,경기도,화성시,,경기도 화성시 병점구 병점동 843-14,,경기도 화성시 병점구 병점동 843-14,37.2124505814,127.0508611135,37.2124505814,127.0508611135,,0.5,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점2로 1L,,경기도,화성시,,경기도 화성시 병점구 병점동 843-11,,경기도 화성시 병점구 병점동 843-18,37.2095138243,127.0470003024,37.2078468439,127.0436324962,,0.59,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점3로 1R,,경기도,화성시,,경기도 화성시 병점구 병점동 843-8,,경기도 화성시 병점구 병점동 843-8,37.210173354,127.0419414176,37.210173354,127.0419414176,,0.1,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점3로 1R(1->2),,경기도,화성시,,경기도 화성시 병점구 병점동 843-8,,경기도 화성시 병점구 병점동 866-1,37.210173354,127.0419414176,37.2089176001,127.039241633,,0.2,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점3로 1R,,경기도,화성시,,경기도 화성시 병점구 병점동 348-7,,경기도 화성시 병점구 진안동 534-2,37.2081358196,127.0362765795,37.2075012956,127.0337735909,,0.2,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점3로 1L(기점->3),,경기도,화성시,,경기도 화성시 병점구 병점동 843-8,,경기도 화성시 병점구 병점동 843-8,37.210173354,127.0419414176,37.210173354,127.0419414176,,0.4,,2.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점3로 1L(3->종점),,경기도,화성시,,경기도 화성시 병점구 병점동 843-8,,경기도 화성시 병점구 병점동 866-1,37.210173354,127.0419414176,37.2089176001,127.039241633,,0.2,,1.5,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점3로 1L(1->2),,경기도,화성시,,경기도 화성시 병점구 병점동 843-21,,경기도 화성시 병점구 병점동 843-21,37.212193952,127.0467994171,37.212193952,127.0467994171,,0.3,,1.2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점동로,,경기도,화성시,,경기도 화성시 병점구 병점동 843-17,,경기도 화성시 병점구 병점동 843-17,37.2070757773,127.0444320561,37.2070757773,127.0444320561,,0.31,,2.7,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
병점로,,경기도,화성시,,경기도 화성시 병점구 병점동 349-3,,경기도 화성시 병점구 병점동 834-1,,,37.2115717642,127.0431874251,,0.7,,2,,,경기도 화성시 병점구청,031-5189-4516,2026-06-01
